"#","Reference","Qty","Value","Footprint","DNP"
"1","D1, D2, D3, D4, D5","5","SC56-11GWA","mp3weckerLibrary:SA56kingbright",""
"2","D6, D7","2","3mmGN","LED_THT:LED_D3.0mm_IRBlack",""
"3","D8, D9","2","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"4","J2","1","Arduino","PCM_4ms_Connector:Pins_2x05_2.54mm_TH_Europower",""
"5","Q1, Q2, Q3, Q4, Q5, Q6","6","BC337","Package_TO_SOT_THT:TO-92L_HandSolder",""
"6","R1, R2, R3, R4, R5, R13, R14, R15","8","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"7","R6, R7, R8, R9, R10, R11","6","33k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"8","R12","1","250R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"9","R16, R17, R18, R19, R20, R21, R23","7","220R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"10","S1","1","Alarm","r8c13_consCounter2:RACON12",""
"11","S2","1","Time","r8c13_consCounter2:RACON12",""
"12","S3","1","Hour+","r8c13_consCounter2:RACON12",""
"13","S4","1","Min+","r8c13_consCounter2:RACON12",""
"14","SW1","1","SW_Push_SPDT","PCM_4ms_Switch:Switch_Toggle_SPDT_SubMini",""
"15","U1","1","4511","Package_DIP:CERDIP-16_W7.62mm_SideBrazed_LongPads_Socket",""
"16","U3","1","MCP23008-xP","Package_DIP:DIP-18_W7.62mm",""
"17","U9","1","4017","Package_DIP:DIP-16_W7.62mm_Socket_LongPads",""
